NBa7we src,d4r55,RfnDt,eaLgGf,hCCjke,rsqaWe,wiI7pd,dSlJg,NlVald,dSlJg 2,NlVald 2,teks,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUxFzW3NnikOhOO5BwsyZtGgh5XWKfwc_aHsyGZI_B6XwkZILq8_A=w36-h36-p-rp-mo-ba6-br100,Tata PaNda,Local Guide · 707 ulasan · 1.924 foto,,,7 tahun lalu,"Hasil karya manusia yang luar biasaa, pantas diacungi jempol. Banyak karya yang sudah berhasil dibuat, diantaranya wayang kulit dan barang-barang antik lainnya. Jangan khawatir barang-barang tersebut bisa dibeli juga kok sesuai pilihan kita. Teruslah berkarya membangun kebudayaan di Jogja Istimewa👍 …",,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVzIY3NxhEsT8wmiOECezuKEpgXBlG22LPlt-Ub_c2tjuNsC5O3=w36-h36-p-rp-mo-ba5-br100,Chandra Irsa,Local Guide · 240 ulasan · 60 foto,,,7 tahun lalu,"Koleksi pernak pernik dr kulit dan gamelan. Bpk dan ibunya ramah, untuk harga kompetitif dan kualitas bagus. Lokasi jg strategis, hanya saja untuk parkir sangat terbatas.",,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXbtQgfPmsTcub4tn8Z6Bu6pV0joG0aPESzSHk5bj8Y4jzqpDyA=w36-h36-p-rp-mo-ba3-br100,Bayu Aji Pratomo,Local Guide · 51 ulasan · 4 foto,,,6 tahun lalu,"Cocok untuk pencari couvenir manten, pencari pernak pernik jawa, dan spesialis pengrajin gamelan satu set full dan wayang kulit. Sangat cocok untuk salah satu tujuan studi tour di jogjakarta untuk memperdalam info pewayangan dan gamelan",,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocIv-mq9U6L5lJgrsB-ndynEVRNOabIwjs6mMbbNI8FDrdmVkg=w36-h36-p-rp-mo-br100,Isnan Hudana,1 ulasan,,,setahun lalu,"jam buka sama jam tutup mohon di update, saya datang jam 6 sore sudah tutup tokonya",,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVfzGQCJnw2bkippqXe-iSP_Do-9rIq_x6sPfQp4pcY0kBXrb_l=w36-h36-p-rp-mo-ba4-br100,Thoufiq Galih,Local Guide · 67 ulasan · 93 foto,,,5 tahun lalu,"Tempat belanja oleh oleh khas Jogja dengan harga terbaik dan terjangkau, kualitas barang barang sangat bagus, wayang, gamelan, pernak pernik gelang @realhandmade_yk juga ada. Tempat sangat strategis dan pelayanan sangat baik",,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocICCGSYMeSFPd3-Tm3FtCwo-T0HHtVpxgRB_0OzWHpP93Eh9w=w36-h36-p-rp-mo-br100,jeni Lestari,1 ulasan,,,3 bulan lalu,Karyawannya ramah 😊 …,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVoNbl2NB5sRKc8iWDRFy-3SRWSeyL4HAtWYYZDyOKPFB-bMPzG=w36-h36-p-rp-mo-ba4-br100,Wildan Failasuf Ariefian,Local Guide · 144 ulasan · 86 foto,,,8 tahun lalu,"Koleksinya banyakan wayang. Dan harganya sedikit mahal. Tapi kalau yang mau cari barang otentik, ini salah satu rekomendasi bagus buwat dicoba.",,,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXskVjT2VPyMTGtph28-x0j_X4YIlfALOmsqXuqZGG3xVqui4BoZQ=w36-h36-p-rp-mo-ba6-br100,Bert Kuiper,Local Guide · 979 ulasan · 985 foto,,,setahun lalu,"A simple souvenir shop, but the exclusivity is the handmade (on that spot) wayang kulit. Good quality.",,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjX7DGDtg4EB4CIf6z2RRiAOA652r0Jf-vf8vx-TTcDiwLxs_rqZkw=w36-h36-p-rp-mo-ba3-br100,Rahmat Julyanto,Local Guide · 59 ulasan · 73 foto,,,3 tahun lalu,"The finest craftsmanship of wayang kulit/leather puppet. Bought Pandawa Lima and was attended by none other than Mrs. Ngatinem Hadisukirno, the spouse of the legend herself. Such an honor. Fine arts of Javanese relics at its best.",,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocICm-q6n_vM_n-IgEW55MAgxiebO4GoQimZSNvn1s4c46vW8A=w36-h36-p-rp-mo-ba4-br100,Winton Huang,Local Guide · 69 ulasan · 604 foto,,,5 tahun lalu,"Grosir wayang, alat musik dan kerajinan Jawa. Harga relatif lebih murah dan lokasi dekat keraton",,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUXMfsbE3O0ViFFzvflByZiEYvzMl5ikXFMPdmlbmT7usFsV1Y=w36-h36-p-rp-mo-ba4-br100,Septiana N. Nada Kartawiredja,Local Guide · 82 ulasan · 158 foto,,,Diedit 8 tahun lalu,"Kebanyakan yg dijual wayang kulit kerbau. Harga lumayan, karena emg wayang yg dijual biasanya buat pertunjukan",,,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjX_aen1JwFAzBikCLvtZL1dTE9LngSzmU5F7o9KGqWi97yKBJcN=w36-h36-p-rp-mo-ba3-br100,Eni yuliati Mayun,Local Guide · 3 ulasan · 92 foto,,,2 tahun lalu,Luar biasa yg punya sudah umur 80th...orangnya ramah banget...sehat selalu simbah,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocIJ47tUZ7F7stpn78q9pT1I8oa1S17-NYDvhFVH9yLMPRWNo6E=w36-h36-p-rp-mo-ba2-br100,Sebastian Umboh,Local Guide · 10 ulasan · 30 foto,,,7 tahun lalu,Nice product with a suitable price..,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocL9gQck8RTUjmEukaCHlce3ukRQ0HvxofvXFBIkv_wtMKm1FQ=w36-h36-p-rp-mo-br100,AGUXZZ QUARTZ3,1 ulasan,,,9 bulan lalu,Pembuatan cepat yang cukup cepat dan bagus,,,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUX8kYUGhdzuGAvRPVuBlt0KfB-yS88WIr8-eCulG3YQYZiKRko=w36-h36-p-rp-mo-ba3-br100,Dwi Nurhayani,Local Guide · 43 ulasan · 4 foto,,,5 tahun lalu,"Lengkap, dan buatan sendiri dari kulit kambing, sapi, kerbau.",,,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjWlpL0zLnCJKN3fLMKQSHkENHSymKWLI2bZxISZzEn5xzmKABwc=w36-h36-p-rp-mo-ba2-br100,Aduhakupetrik123,Local Guide · 4 ulasan · 15 foto,,,4 tahun lalu,tempat yang bagus dengan tradisi wayang apalagi wayang nya murah harga bersahabat,,,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXzqF9oiWz8BQIxjxG5PMZn4PdlcPqgDgpaP0_ru90g-eo8GaFwSw=w36-h36-p-rp-mo-ba3-br100,Armando Kamajaya,Local Guide · 7 ulasan · 115 foto,,,setahun lalu,"Koleksinya menarik, unik lawasan",,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjU4jCowdQMV2EBA4iFuyccJO1s2y0x3c9BPpdFuaG9uYtJlP2o=w36-h36-p-rp-mo-ba5-br100,Nunky Seno,Local Guide · 539 ulasan · 181 foto,,,7 tahun lalu,Tempat penjualan aneka aksesoris cendera mata khas Yogyakarta.,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVM_PnBU237NFDVlFRUFq3lBZtyv5CvEaw66CYWQs8_yobNKOnX=w36-h36-p-rp-mo-br100,yayan wahyuningtyassari,4 ulasan · 7 foto,,,2 tahun lalu,"Apa yg anda cari, semua ada disini...",,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjU8eV83Vm5JaJvEq7DY4bFL2dJL-nscui1pFdPANkxkAprm324l=w36-h36-p-rp-mo-ba6-br100,Puji Maryono,Local Guide · 450 ulasan · 1.977 foto,,,3 tahun lalu,Masih berkarya membuat seni yg bagus....,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXF553Wf28yvPBsSvvTkGbOIv7hDAYvbSDSaREWocUDvMpmULfj=w36-h36-p-rp-mo-br100,Luqman Santoso,9 ulasan · 7 foto,,,3 tahun lalu,oleh2 khas jogja lgsg dri pengrajin kayu,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXtG3NKmYzTcIywLHd4SuUf4NHQkqlU5KqDocPZq_07iWP4dI-M=w36-h36-p-rp-mo-ba2-br100,Nicholas Toro,Local Guide · 20 ulasan · 22 foto,,,7 tahun lalu,Banyak sekali pilihan karyanya yang bisa dibeli,,,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUY1xU3w663PUIGYbVVbXJo-lbdlUcq7C5JMEhX7wsq6NN7n_X7=w36-h36-p-rp-mo-ba3-br100,Suranto Anto,Local Guide · 27 ulasan · 4 foto,,,Diedit 7 tahun lalu,"Bagus, tempatnya utk belanja asesoris wayang",,,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUD358_194N2PNb8WtrY9djrpAJi5A26VMNvNgNDe5IFY7PhJfksA=w36-h36-p-rp-mo-ba4-br100,Wiwing ws,Local Guide · 210 ulasan · 175 foto,,,7 tahun lalu,Tempat anda cari souvernir dan cenderamata asli Jogja.,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUVQzuVNfOP40JQDiGATUpQDHtAD03tYVC5McfsT4MdbE0_aEQ=w36-h36-p-rp-mo-ba2-br100,wiki yuli anita,Local Guide · 6 ulasan · 35 foto,,,3 tahun lalu,Tempat bersih dan ikan yg dijual sehat sehat,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVUNbYEKE6ow6bnGkTaOfIyotXBSRU7qWgblZNi6dtxCmnu20N6hw=w36-h36-p-rp-mo-ba4-br100,APA Dukuh Channel,Local Guide · 61 ulasan · 102 foto,,,Diedit 7 tahun lalu,Tempat penjualan souvenir khas jogja,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjW79HfFubty4UhuSbh6eMbvjsTZHrmCQAtuidwTrf0wkP5Q1BRS=w36-h36-p-rp-mo-ba3-br100,Marj “Sila” Official,Local Guide · 43 ulasan · 9 foto,,,3 tahun lalu,Pelayanan ramah,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXdMfd18zFaA4EcZeJyQVVT1sxKvhftcWgQiliKNVQDWwICLHGL=w36-h36-p-rp-mo-br100,Fadhila Rahman,1 ulasan,,,6 tahun lalu,ada yang punya kontak wa nya?,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUE2JOWYwIVEF5N7dDyMDIBBY0YwJYFxJo8P7IzGk8TmVuykXAb=w36-h36-p-rp-mo-ba3-br100,Thomas Saragi,Local Guide · 53 ulasan · 51 foto,,,8 tahun lalu,Mahal n tidak terlalu ramah,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUMYGsead9lvOYWxybqYthqcXXJEhzCLaMWDQ6dk5jdZFd6IIZU=w36-h36-p-rp-mo-ba6-br100,Darmawan Joko Prasetyo,Local Guide · 502 ulasan · 546 foto,,,5 tahun lalu,legenda pengrajin wayang kulit jogja,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjWAD4uljAQx_Hloa9TU5zmJL3UNvmeVF5BH0fxQbuhezDG-E3I=w36-h36-p-rp-mo-ba3-br100,agung prastowo,Local Guide · 44 ulasan · 10 foto,,,3 tahun lalu,Unik unik barang nya,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUcyF4xsH2N-INRSGzEP8TaDN53ZtEYkTGtlDnfaPm6Fn6i_qRu=w36-h36-p-rp-mo-ba3-br100,windanoors _Ufa,Local Guide · 18 ulasan,,,Diedit 4 tahun lalu,Oke...oke,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVB4keo9dDrWLqR4bJyt2sdKJsIYP3foFu35uLP5HWQTvo_msNrFg=w36-h36-p-rp-mo-ba5-br100,Teguh setia aribowo,Local Guide · 209 ulasan · 571 foto,,,6 tahun lalu,Ramah dan membumi,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXalPn0AhXOGzZnnyzCc7S_3eETX0mW9z2xrY5XMV7CS2gMs8iK=w36-h36-p-rp-mo-ba5-br100,Niken Setyaningsih,Local Guide · 196 ulasan · 249 foto,,,Diedit 7 tahun lalu,Cuman lewat sj,,,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocIRdSb5mkLfLPrqZIrwL-hUy3DVMbWVc6MAWARBpMlIdL1O5Q=w36-h36-p-rp-mo-br100,Kharisma Tirani,14 ulasan,,,5 tahun lalu,👍 …,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVSJ4lmQMgd6MJw4CaURTban8sxNm6en80WMUIGERz5gAztCz3reQ=w36-h36-p-rp-mo-ba5-br100,Trilita Yanti,Local Guide · 174 ulasan · 1.316 foto,,,Diedit 7 tahun lalu,Nice place to buy silver,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXeSbhhtfKpwH21CWtrDvE16Sd3b6pC1TqT6i3EHR74iKpuKU2w=w36-h36-p-rp-mo-ba6-br100,Andika MW,Local Guide · 441 ulasan · 1.529 foto,,,5 tahun lalu,barang barang seni. Komplit.,,,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXXLlPZe5cVD0lqKx4pSOLDIdMve2NRUrhqYsMhDKDxoV0Po10=w36-h36-p-rp-mo-ba4-br100,Alvin,Local Guide · 126 ulasan · 117 foto,,,3 tahun lalu,Terus dikembangkan..,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocLi31QZ1UlPfOgCG7lbS0qEzzXNVZ26LXlv5r7TL4SzB1qTOQ=w36-h36-p-rp-mo-ba4-br100,Andang Priyantoro,Local Guide · 76 ulasan · 112 foto,,,3 tahun lalu,Luar biasa,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUj5kYkkKo_xziUk6N-YCmIrH-V2K6LZleWic2BqQDUeH3Hb_Ku3Q=w36-h36-p-rp-mo-ba5-br100,Ardian Pratama,Local Guide · 122 ulasan · 955 foto,,,8 tahun lalu,The first hand make wayang,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjU-hJGT0PiGy6gl96-nERqUXKwUY9nPdz2zsjS0_oiqTEQLNvq2=w36-h36-p-rp-mo-ba5-br100,Hamdani Dani,Local Guide · 375 ulasan · 56 foto,,,4 tahun lalu,Siip👍 …,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXHOP97biL83cVOGg6sHqXjRehv8aFRAT--_sXaTqNqE333nPw=w36-h36-p-rp-mo-ba4-br100,andtra Kurniawan,Local Guide · 82 ulasan · 15 foto,,,setahun lalu,good,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocJYSsZ-r-wvpIIAk_p0HjWBCSifpUIh4hu1hKMYspb69E-xhQ=w36-h36-p-rp-mo-ba5-br100,DARMAWAN TIYANG JOGJA,Local Guide · 420 ulasan · 196 foto,,,7 tahun lalu,Beli sabuk,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVILUMFbD5DruOUO32sc5wL0INcqDq4i6AEnvROiI5Apx6Kxc1e=w36-h36-p-rp-mo-ba5-br100,Endra Henki Sadewa (Henki),Local Guide · 239 ulasan · 1.081 foto,,,3 tahun lalu,Bagus,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocJkF6R8UMG9GKQkGrPQZLzE4XEjrCMJT0LUjL-7nLCdCJaguUtv=w36-h36-p-rp-mo-br100,Retno Wahyuni,3 ulasan · 1 foto,,,8 tahun lalu,Tolong disimpan ya,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocI-AjC-M31TjWF7kZvhksUXbI1rEfhWqQEz-5EuN7tMDLGcFA=w36-h36-p-rp-mo-ba4-br100,harry anthony,Local Guide · 103 ulasan,,,7 tahun lalu,Mantap,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXcan85nU3BGjAcY0mhCsJnO2W6Uldsn40QS-mZzeAHo9vdCuJ7=w36-h36-p-rp-mo-ba4-br100,ALIF 348,Local Guide · 50 ulasan · 16 foto,,,7 tahun lalu,Sip,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocJyBMTCrEL2mW8Gd0dTYqPsVgDMM0DyxOFgoZ8hlqgSawVQfA=w36-h36-p-rp-mo-ba4-br100,Suhar Diman,Local Guide · 51 ulasan · 148 foto,,,7 tahun lalu,Pingirr jln,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocJYzPKR5J-l9ztyWojCd6TNrboMbGOVcdNkp4N_3X39D0lNPA=w36-h36-p-rp-mo-ba2-br100,maha nani,Local Guide · 19 ulasan · 6 foto,,,6 tahun lalu,Good,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocIYAg1r7UlBih-QhHjRVLvuYXskcyfjUS59lwExuBVV9CcRwg=w36-h36-p-rp-mo-br100,satyam,1 ulasan · 1 foto,,,sebulan lalu,"Sudah beberapa kali pesan disini, kualitasnya bagus. Pengerjaan halus dan detail, mantab",,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocLrsCe_sMs1iIaeb3YqSjV2ou7fw6pOPSLyfX3BObR_Skzt=w36-h36-p-rp-mo-br100,喻文姚,4 ulasan,,,2 tahun lalu,Anda bisa membeli banyak karya wayang kulit dengan harga yang wajar.,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVeEUkRy1j7eofShkEVCWWNL9qM1FEJLcgtOgJvyWCJsDRNDDxY=w36-h36-p-rp-mo-ba5-br100,Antonius Satria Hadi,Local Guide · 221 ulasan · 1.418 foto,,,7 bulan lalu,,,,,,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjW9qSdlBt834cG-MeKFq0-6pZ14Eeue3SSc5c4ExjpWngV3dIlGeQ=w36-h36-p-rp-mo-ba3-br100,Susilo Hermanto (Manto),Local Guide · 40 ulasan · 12 foto,,,6 tahun lalu,"Pelayanan menyenangkan, lebih lancar.",,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVXUKZ0i-hSCeU47Xr3ckbXp0BvgOhrhYsYCfmLosYs02ZyftNk=w36-h36-p-rp-mo-ba4-br100,yudiantoofficial_,Local Guide · 61 ulasan · 13 foto,,,2 tahun lalu,Jika,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjWBArddo0_i5g1jQzWo0I1YqpTaIfj1Z_gLPVqZJ7g0N3vPHJ95=w36-h36-p-rp-mo-ba2-br100,edi pisang jogja,Local Guide · 4 ulasan · 18 foto,,,4 tahun lalu,Jika,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocLwHzPEdShPIySukCSvcXOzV1n2yeQQeLKcA9bu4PMcgI0aMg=w36-h36-p-rp-mo-ba2-br100,Nanda Gwen,Local Guide · 28 ulasan · 7 foto,,,sebulan lalu,,,,,,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjV-Ln4u2xgsgInLkdbH-PXj1TGDATbnIXIOUfbS37Q4t311yQK6=w36-h36-p-rp-mo-ba5-br100,goen poerwono,Local Guide · 203 ulasan · 878 foto,,,6 tahun lalu,"Kampung Tionghoa yang ada di dekat Malioboro.Di depan gang masuk ada Gapura didominasi  warna hijau,kuning,merah emas dekat Mall Ramayana.Sebagian besar warga kampung Ketandan memang keturunan dan umumnya buka toko,rumah makan dan …",,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjWnsblceZbCZR6QyNFHj_wEi1p4DyHJVYvPuaJwBWQlikhBjcCp=w36-h36-p-rp-mo-ba5-br100,Ikhlaashul Muaasyiqiin,Local Guide · 195 ulasan · 611 foto,,,6 tahun lalu,"Kampung wisata khas china yang wajib dikunjungi saat liburan biasa maupun hari raya nasional, banyak makanan khas dan acara tang hanya ada saat itu juga, bagi pecinta selfie banyak spot yang bisa di pakai",,Suka,,Bagikan,,,,,,,,,
